date,GAB,Ceduna W,Ceduna E,Pt Lincoln W,Pt Lincoln E,Spencer Gulf N,Spencer Gulf C,Spencer Gulf S,SVG - NW,SVG - NE,SVG - SW,SVG - SE,KI - W,KI - E,Victor - W,Victor - E,Lk Alex,Victor Harbour-Mt Gambier,Mt Gambier,Pt Fairy
20120102,,,,,,,,,,,,,,,,,,,,
20120103,,,0.15194667875766754,0.21887211501598358,0.24179542064666748,,0.1943923383951187,0.25493839383125305,,,0.45682021975517273,0.2344323992729187,0.21588167548179626,0.4156414866447449,0.29493966698646545,,,0.1315225213766098,,
20120104,0.27473196387290955,0.7225074172019958,0.5458918213844299,0.33852148056030273,0.37514105439186096,1.5691980123519897,0.3934812545776367,0.6401177048683167,1.5210665464401245,2.054216146469116,0.47269660234451294,0.48645347356796265,0.17927533388137817,0.3099740445613861,0.28407877683639526,0.2581908404827118,,0.2796461582183838,0.13923121988773346,
20120105,0.22511699795722961,0.41514211893081665,0.34733980894088745,0.3490079939365387,0.4631713926792145,1.6833553314208984,0.45524489879608154,0.4808151125907898,2.3214147090911865,2.8629140853881836,0.5759292244911194,0.45544755458831787,0.1832125186920166,0.3920401632785797,,,,0.22639665007591248,0.13050641119480133,
20120106,,,0.6167737245559692,0.4530787765979767,,1.1837027072906494,0.3536718487739563,,,,0.22647391259670258,0.49166229367256165,,,,,,,,0.24153734743595123
20120107,,,,,,,,,,,,,,,,,,,,
20120108,,0.12283644825220108,,,,,,,,,,,,,,,,,,
20120109,,,,,,,,,,,,,,,,,,,,
20120110,,,,0.31578579545021057,0.35489022731781006,,,0.4813651144504547,,,,,,,,,,,,
20120111,,1.3886914253234863,0.7015998363494873,0.42293259501457214,0.3769626021385193,2.329608678817749,0.5950849056243896,0.4854549467563629,2.344600200653076,3.0922820568084717,0.9887155294418335,0.7457650899887085,0.22004592418670654,0.3267057240009308,0.5402594804763794,0.4538348317146301,,0.34493502974510193,0.1419493556022644,0.1549563705921173
