date,GAB,Ceduna W,Ceduna E,Pt Lincoln W,Pt Lincoln E,Spencer Gulf N,Spencer Gulf C,Spencer Gulf S,SVG - NW,SVG - NE,SVG - SW,SVG - SE,KI - W,KI - E,Victor - W,Victor - E,Lk Alex,Victor Harbour-Mt Gambier,Mt Gambier,Pt Fairy
20180104,,,,,,,,,,,,,,,,,,,,
20180105,,20.817020416259766,19.51498031616211,18.67582130432129,19.64198875427246,22.211612701416016,20.80884552001953,20.029356002807617,21.91750144958496,22.069246292114258,20.32341766357422,20.712478637695312,18.895605087280273,19.330230712890625,19.079212188720703,18.169347763061523,20.85276222229004,17.829572677612305,17.652278900146484,18.6127872467041
20180106,,,,,,24.244844436645508,,23.172822952270508,23.84175682067871,23.832162857055664,22.41563606262207,22.60585594177246,,21.031906127929688,21.186113357543945,20.428482055664062,24.257375717163086,19.481536865234375,18.861289978027344,19.32321548461914
20180107,,,,,,,,,,,,,,,,,,,,19.197052001953125
20180108,,18.706787109375,17.890771865844727,17.62144660949707,19.482402801513672,,20.844131469726562,20.362232208251953,,,,,19.401573181152344,,,,,,,18.926231384277344
20180109,19.760629653930664,18.904619216918945,18.428571701049805,17.614604949951172,19.169191360473633,22.25730323791504,20.691246032714844,19.954368591308594,21.892637252807617,22.082109451293945,20.335729598999023,20.90167999267578,19.06780433654785,19.424564361572266,19.360641479492188,18.42076873779297,21.431211471557617,17.80704689025879,18.454044342041016,
20180110,,,,17.975980758666992,18.584781646728516,21.51444435119629,,,,,19.797456741333008,20.437015533447266,18.366701126098633,19.301042556762695,19.12616539001465,17.780029296875,20.979530334472656,17.831584930419922,,19.055740356445312
20180111,,,,19.291183471679688,20.272459030151367,22.622783660888672,21.398603439331055,20.921939849853516,22.0159854888916,22.148733139038086,21.09189796447754,21.349382400512695,19.54908561706543,19.561616897583008,19.50196647644043,18.69184684753418,21.27036476135254,18.18583106994629,18.32244110107422,19.033199310302734
20180112,,,,,,,,,,,,,,,,,,,,
20180113,19.99915885925293,18.954198837280273,18.65869903564453,18.324581146240234,19.537372589111328,21.92271614074707,21.049320220947266,19.904443740844727,,,,,,,,,,,,
20180114,20.104999542236328,19.139080047607422,18.660663604736328,18.289865493774414,19.051603317260742,21.935054779052734,20.81180763244629,20.409927368164062,21.86583137512207,,20.396785736083984,21.060100555419922,19.23451042175293,19.953872680664062,19.66813087463379,,,17.95570182800293,17.97158432006836,
20180115,20.386489868164062,19.44864273071289,18.617984771728516,18.162094116210938,19.38506507873535,21.954376220703125,20.779983520507812,20.021921157836914,21.14647674560547,21.251758575439453,20.43825912475586,21.14145851135254,18.63062858581543,19.390039443969727,19.265426635742188,18.361942291259766,,17.935813903808594,,
20180116,19.533239364624023,,,19.189769744873047,19.639596939086914,22.236167907714844,21.19952392578125,20.215543746948242,21.499998092651367,21.583581924438477,20.6803035736084,21.177518844604492,19.66329574584961,19.697723388671875,19.357955932617188,18.497304916381836,20.48344612121582,17.638713836669922,,18.39452362060547
20180117,21.195457458496094,,,,,,,,,,,21.786359786987305,,,20.065166473388672,19.259122848510742,21.600812911987305,18.383447647094727,18.286312103271484,18.58843231201172
20180118,21.520490646362305,20.888538360595703,19.9542293548584,19.721498489379883,,,,,,,,,,,,,,,19.481544494628906,19.497028350830078
20180119,21.88863182067871,21.487638473510742,20.765544891357422,20.846525192260742,21.95694351196289,24.620161056518555,23.164592742919922,22.273880004882812,24.1446590423584,24.370452880859375,23.173734664916992,23.772541046142578,21.192237854003906,21.86687660217285,21.835325241088867,21.541332244873047,,19.530054092407227,,
20180120,,20.044031143188477,19.492605209350586,18.704954147338867,21.39156723022461,24.414447784423828,22.373680114746094,21.455646514892578,,,22.154773712158203,22.8575382232666,,21.24302864074707,,20.00309944152832,,19.174997329711914,,
20180121,,,20.518918991088867,19.51309585571289,21.0688419342041,24.407562255859375,22.067142486572266,21.214092254638672,,,21.519760131835938,,20.167959213256836,20.852582931518555,20.07437515258789,19.635793685913086,,18.34299087524414,,
20180122,,,,,,,,,,,,,,,,19.301218032836914,,17.88739585876465,,20.72826385498047
20180123,20.739091873168945,20.006200790405273,18.984214782714844,,,,,,,,,,,,,,,19.150842666625977,18.984458923339844,19.978878021240234
20180124,20.93059539794922,,,18.347583770751953,19.930477142333984,22.83562469482422,21.635087966918945,20.664567947387695,22.42697525024414,22.663414001464844,20.842288970947266,21.698593139648438,19.902347564697266,20.3837890625,,,,,,21.448108673095703
20180125,20.607593536376953,19.940452575683594,18.95842170715332,18.392303466796875,19.658811569213867,,21.796236038208008,20.709121704101562,,,21.277284622192383,21.911643981933594,19.684581756591797,20.675762176513672,19.87588119506836,19.215700149536133,22.30948829650879,18.167282104492188,18.337186813354492,17.99348258972168
20180126,,,,,,23.863771438598633,,,,,20.05437469482422,,,,,,,17.40053939819336,19.0089111328125,19.335037231445312
20180127,,,,,,,,,,,,,,,,,,,,
20180128,24.14398956298828,,,,,,,,,,,,,,,,,,20.157499313354492,21.880258560180664
20180129,,,,,,,,,,,,,,,,,,,,25.057939529418945
20180130,,,,,,,,,,,,,,,,,,18.954347610473633,,
20180131,,,,,,,,,,,,,,,,,,,,
20180201,,,,,,,,,,,,,,,,17.72856903076172,,16.449859619140625,,20.351633071899414
20180202,,,,,,,,,,,,,,,,,,16.128528594970703,,20.732206344604492
20180203,,,,,,,,,,,,,,,,,,,,
20180204,19.617897033691406,18.639415740966797,18.257774353027344,17.913883209228516,19.870685577392578,22.07647705078125,21.173498153686523,20.09571075439453,21.134807586669922,21.527664184570312,20.526477813720703,21.219715118408203,18.660350799560547,19.04946517944336,18.43732261657715,17.777463912963867,19.828031539916992,17.173660278320312,,
20180205,20.167673110961914,19.16830825805664,18.439388275146484,18.224925994873047,20.877283096313477,22.83953857421875,22.076553344726562,20.86945915222168,22.235910415649414,22.734302520751953,21.474878311157227,22.17547607421875,19.1767520904541,,18.88011360168457,18.082271575927734,,17.194326400756836,17.8040771484375,19.076017379760742
