date,GAB,Ceduna W,Ceduna E,Pt Lincoln W,Pt Lincoln E,Spencer Gulf N,Spencer Gulf C,Spencer Gulf S,SVG - NW,SVG - NE,SVG - SW,SVG - SE,KI - W,KI - E,Victor - W,Victor - E,Lk Alex,Victor Harbour-Mt Gambier,Mt Gambier,Pt Fairy
20190101,0.2337156981229782,0.39389100670814514,1.575888991355896,0.7192410230636597,0.47068867087364197,3.0032401084899902,0.820142924785614,0.5759154558181763,4.341196060180664,6.063167572021484,1.0141178369522095,1.1435385942459106,0.26515552401542664,0.8658643364906311,0.5033278465270996,0.41887810826301575,17.927143096923828,1.0003554821014404,0.22410738468170166,1.5214983224868774
20190102,0.2599610984325409,0.8634352087974548,1.3431639671325684,0.5713537335395813,0.3507349491119385,1.9786145687103271,0.5343823432922363,0.4957137405872345,3.026902437210083,4.5960235595703125,0.847180187702179,0.940091073513031,0.2425336092710495,0.9984584450721741,0.42647290229797363,0.4292321503162384,18.34151840209961,0.9587172269821167,0.20907984673976898,3.835338830947876
20190103,0.33418089151382446,0.9277425408363342,0.89942467212677,0.6311904788017273,0.4150252938270569,2.4750711917877197,0.6024659872055054,0.5355755686759949,2.636068344116211,3.863391876220703,1.0152682065963745,1.101453423500061,0.2770916819572449,0.6983823180198669,0.4179459810256958,0.37096765637397766,15.502567291259766,0.5448866486549377,0.24035613238811493,1.3755710124969482
20190104,,1.3488303422927856,1.5091369152069092,0.3550000786781311,0.491344690322876,0.9252520799636841,0.4868339002132416,0.7197101712226868,,,0.9368019700050354,,0.2345910370349884,0.8349449634552002,,,,0.2337881624698639,,1.2105908393859863
20190105,0.2145032286643982,1.7319512367248535,1.4133843183517456,0.6022434234619141,0.48399674892425537,4.41419792175293,0.9050577282905579,0.7648721933364868,2.0034825801849365,5.362895965576172,0.9131965041160583,1.3462002277374268,0.24309948086738586,1.0351219177246094,,1.4194159507751465,,0.7145945429801941,0.18651430308818817,1.0620274543762207
20190106,0.2610858082771301,0.9964326620101929,1.0714366436004639,0.6293075084686279,0.4696262776851654,4.025409698486328,0.7758686542510986,0.6063821315765381,4.131888389587402,6.417661190032959,1.0248394012451172,1.3046513795852661,0.2613161504268646,1.087929368019104,0.9917827248573303,0.7786381244659424,17.956092834472656,0.6182466149330139,0.161961168050766,1.7124496698379517
20190107,0.29167166352272034,0.3983299434185028,,,,,,1.0296818017959595,,,0.6923724412918091,,0.325930655002594,2.0663208961486816,0.6753572821617126,,,,0.22425006330013275,1.793859601020813
20190108,0.2839426100254059,0.7625104784965515,0.9586962461471558,0.6726908087730408,0.520305335521698,2.636986255645752,0.6841627359390259,0.5938600897789001,2.81005597114563,6.31466007232666,1.0101118087768555,1.1338025331497192,0.239898681640625,0.6327255964279175,1.0541146993637085,1.1328167915344238,11.701278686523438,0.6155105233192444,0.17460261285305023,1.5048506259918213
20190109,0.35132718086242676,0.9470426440238953,1.1413960456848145,0.7110760807991028,0.4515553414821625,2.894617795944214,0.7517818212509155,0.584679901599884,3.5586929321289062,6.413489818572998,1.0531855821609497,1.2151762247085571,0.2676543593406677,1.3277759552001953,0.5692282319068909,1.1802594661712646,15.47516918182373,0.48620742559432983,0.18971213698387146,1.2930612564086914
20190110,0.31499797105789185,1.0239843130111694,1.067662239074707,0.8213648796081543,0.595429003238678,4.204771041870117,0.8658556938171387,0.4723074436187744,5.944271087646484,8.199189186096191,1.400371789932251,1.8986328840255737,0.26123666763305664,0.6157791018486023,2.649791717529297,0.9120047688484192,22.182048797607422,0.5675913095474243,0.24691389501094818,1.8527977466583252
20190111,0.3509399890899658,2.6618924140930176,0.6060958504676819,0.7276349663734436,0.4438401162624359,4.375528335571289,0.9117324352264404,0.7179161310195923,5.1183247566223145,,,,0.31198784708976746,,0.4579273462295532,0.5511777997016907,,0.6318158507347107,0.22714832425117493,1.0470033884048462
20190112,0.29618537425994873,0.8518542647361755,0.7136977910995483,0.6146383285522461,0.4414457082748413,3.267082452774048,0.7741512656211853,0.6611007452011108,4.172311782836914,7.564375877380371,1.1503331661224365,1.3456143140792847,0.31799349188804626,1.3596714735031128,0.6710774898529053,1.4677811861038208,18.38348960876465,0.7225705981254578,0.25502103567123413,3.29791522026062
20190113,0.3008781373500824,0.7844529151916504,0.8166813850402832,0.7644595503807068,0.4342873692512512,2.5366671085357666,0.5520369410514832,0.5375241637229919,2.797985315322876,5.367310523986816,0.9562665820121765,1.0716525316238403,0.27229079604148865,0.7299166321754456,0.42492955923080444,0.8816635608673096,18.329689025878906,1.0689772367477417,0.2853759527206421,1.2547214031219482
20190114,0.4680402874946594,1.3636337518692017,1.8511996269226074,1.1538110971450806,0.4926188886165619,2.892207622528076,0.5311496257781982,0.6090682148933411,3.57509708404541,6.035294532775879,1.0191692113876343,1.0565290451049805,0.314334511756897,1.165661096572876,0.4500405788421631,0.3477216064929962,27.976396560668945,0.8329704403877258,0.23214931786060333,1.0976542234420776
20190115,0.6273340582847595,2.0147159099578857,2.1404573917388916,1.186964750289917,0.7642731666564941,2.361600875854492,0.893311619758606,0.7399625778198242,3.921625852584839,5.57648229598999,0.9915069937705994,1.0531184673309326,0.2920657694339752,0.9491365551948547,0.3891119658946991,0.3906067907810211,,1.0511363744735718,0.3895547688007355,0.4150443375110626
20190116,,,,,0.22531753778457642,,,1.0468500852584839,,,,,0.34656885266304016,1.6866987943649292,,,,0.3824353814125061,,
20190117,,,,,,,,,,,,,,,,,,,,
20190118,,,,0.5911749601364136,0.28751614689826965,,,0.6153651475906372,,,,,0.2851465344429016,,,,,0.2705477476119995,,
