date,Esperance_1,Esperance_2,Esperance_3,Mundrabilla,Eucla_1,Eucla_2,Yalata,Ceduna
20180104,0.09672104567289352,0.21159762144088745,0.23035067319869995,0.3490777015686035,0.3886807858943939,0.37339136004447937,,
20180105,0.1440884917974472,0.18175843358039856,0.17692337930202484,0.24169287085533142,0.46653997898101807,0.465243399143219,0.2702273428440094,0.3044227957725525
20180106,0.17550404369831085,0.20411516726016998,0.1782657504081726,0.19876539707183838,,,,0.22793623805046082
20180107,,,0.14493966102600098,0.3914840817451477,0.4524351954460144,0.32082533836364746,0.32315486669540405,0.5076971054077148
20180108,0.17433370649814606,,,,,,,0.1282716691493988
20180109,0.17307519912719727,,,0.43039533495903015,0.42434367537498474,,,
20180110,0.1592152714729309,0.16739213466644287,,,0.4890210032463074,0.4323543608188629,0.30029308795928955,0.3457452356815338
20180111,0.12236939370632172,0.1586657613515854,0.2213689684867859,0.2872389256954193,0.2775431275367737,,,
20180112,,,0.23088130354881287,0.4408988952636719,0.33821699023246765,,,
20180113,0.19899702072143555,,,,,0.3083115220069885,0.2141314297914505,0.16385453939437866
20180114,0.18438926339149475,0.157260462641716,0.14117050170898438,,,,,
20180115,,,,,0.3747417628765106,,,
20180116,,,,,,0.39652174711227417,0.34806138277053833,0.3930818438529968
20180117,,,0.23336102068424225,0.37863945960998535,0.4605569839477539,0.40561720728874207,0.3186917304992676,0.3415280878543854
20180118,,,,,0.5933937430381775,0.3721022605895996,0.33048227429389954,0.3209367096424103
20180119,0.1979077309370041,,,,,,,0.5973650217056274
20180120,0.22041867673397064,0.21677681803703308,,,,,,
20180121,0.19195634126663208,0.2390868365764618,0.15207916498184204,,,,,
20180122,0.16387410461902618,0.12927769124507904,,0.30817437171936035,0.28329384326934814,0.2913984954357147,0.2825305759906769,0.29997989535331726
20180123,,,,0.5031266212463379,,0.3255031704902649,0.3069649636745453,0.34499382972717285
20180124,,,,,,,,
20180125,,,0.20289026200771332,0.21052099764347076,,,,
20180126,0.17128929495811462,0.17311395704746246,0.14254413545131683,0.29550468921661377,0.37746506929397583,0.39710375666618347,0.3979979157447815,0.53985595703125
20180127,0.1305675208568573,0.19756898283958435,0.15794816613197327,0.383696973323822,,0.5977070331573486,0.4221374988555908,
20180128,,,,,,,,
20180129,0.14596256613731384,,,,,,,
20180130,,,,,,,,
20180131,,,,,,,,
20180201,0.2033962905406952,0.14969755709171295,0.2028186321258545,0.3512515723705292,,,,
20180202,,0.17097489535808563,0.13537001609802246,0.2431921511888504,0.5894119143486023,0.7681494355201721,0.8336110711097717,0.5328989028930664
20180203,,,,,,0.4349514842033386,0.6047289371490479,0.545983076095581
20180204,0.23026812076568604,0.15372714400291443,0.21501661837100983,,,,,0.5108396410942078
20180205,,0.09277139604091644,0.23372939229011536,,,0.5565312504768372,0.6831963062286377,0.20235906541347504
20180206,0.18842026591300964,0.22286473214626312,0.3006187379360199,0.37613993883132935,0.8521950244903564,0.5736487507820129,0.4354507625102997,0.3518581688404083
20180207,,0.12000468373298645,,,,0.4979674816131592,0.3814689815044403,0.29110994935035706
20180208,,,,,0.5715547204017639,0.45348161458969116,0.3453512489795685,0.26444825530052185
20180209,0.21630582213401794,0.23864828050136566,0.2785361111164093,,,0.4166172444820404,0.33148854970932007,0.30844828486442566
20180210,0.2072240114212036,0.15673990547657013,0.12775003910064697,0.19411061704158783,,,,
