date,Esperance_1,Esperance_2,Esperance_3,Mundrabilla,Eucla_1,Eucla_2,Yalata,Ceduna
20180104,,,,,,,,
20180105,19.332231521606445,21.18894386291504,,,,,,
20180106,19.46613883972168,19.798728942871094,20.244539260864258,20.723264694213867,22.646522521972656,22.44127082824707,,
20180107,19.282686233520508,19.56363868713379,,,,20.281457901000977,,
20180108,19.923171997070312,19.614601135253906,19.86307716369629,20.222143173217773,,,,
20180109,,,20.367713928222656,20.948259353637695,20.834627151489258,20.287946701049805,19.790468215942383,19.46512222290039
20180110,19.550777435302734,,,,,,,
20180111,19.284320831298828,19.552061080932617,20.431861877441406,21.301071166992188,21.808481216430664,,,
20180112,18.93047332763672,20.495195388793945,19.79229164123535,19.91763687133789,,,,
20180113,,,19.473976135253906,20.61466407775879,20.33646583557129,20.15974998474121,19.98956298828125,19.569631576538086
20180114,,,20.303964614868164,20.2548828125,20.628494262695312,20.218669891357422,20.15520668029785,19.39081573486328
20180115,,,,,,,20.429546356201172,20.087703704833984
20180116,,,,,,18.711307525634766,19.48003387451172,
20180117,20.351839065551758,20.257150650024414,,,21.873615264892578,21.3099365234375,21.189899444580078,
20180118,,21.499631881713867,21.451324462890625,21.73546600341797,22.05660057067871,21.748924255371094,21.475034713745117,21.295795440673828
20180119,,,,,,21.675222396850586,21.831533432006836,21.8121337890625
20180120,,,,,,,,
20180121,20.23464012145996,,,,,,,
20180122,,19.488018035888672,20.186189651489258,21.108652114868164,21.08531379699707,,,
20180123,,19.466123580932617,19.56131935119629,19.987590789794922,20.116220474243164,20.32849884033203,20.841854095458984,20.266956329345703
20180124,,20.23939323425293,20.2230281829834,,21.49205207824707,21.403793334960938,20.928491592407227,20.92259407043457
20180125,,,21.612201690673828,21.940710067749023,21.84696388244629,21.223520278930664,20.602672576904297,20.27195167541504
20180126,19.638500213623047,,,,,,,
20180127,,,,,,,,
20180128,19.92863655090332,19.99987030029297,,,23.22142791748047,23.43234634399414,24.13020133972168,
20180129,,,20.541624069213867,,,,,
20180130,,,,,,,,
20180131,,,,,,,,
20180201,19.698427200317383,,19.837705612182617,20.07988929748535,,,,
20180202,19.840736389160156,,,20.269319534301758,,,,
20180203,,,,,,,,
20180204,20.878232955932617,,,,20.54383659362793,19.99681282043457,19.602394104003906,18.797101974487305
20180205,,,,,,20.992033004760742,20.236007690429688,19.676916122436523
20180206,,21.374969482421875,21.466938018798828,,,,,
20180207,,,,,22.136825561523438,21.99567413330078,,
20180208,,,,,,21.542219161987305,20.933334350585938,21.208593368530273
20180209,,20.75743865966797,20.598812103271484,20.83910369873047,21.49959945678711,,21.43930435180664,
20180210,,,21.9904842376709,,22.13109588623047,21.864017486572266,,
20180211,19.74774932861328,,,,,21.445693969726562,20.95921516418457,20.17415428161621
20180212,20.0733642578125,20.470834732055664,20.49041175842285,20.7356014251709,,,,
20180213,20.418554306030273,20.63573455810547,20.83516502380371,21.112499237060547,21.23746681213379,20.939363479614258,20.332468032836914,19.736135482788086
20180214,20.286577224731445,20.919496536254883,20.766225814819336,21.047311782836914,21.215200424194336,20.961345672607422,20.71342658996582,20.283538818359375
20180215,20.73554039001465,21.406681060791016,21.412616729736328,21.40233612060547,21.30931854248047,20.96280288696289,20.201629638671875,19.765180587768555
20180216,,,,,,,21.105762481689453,
20180217,,21.815521240234375,21.489891052246094,21.449840545654297,,,,20.378541946411133
20180218,20.42990493774414,20.839075088500977,21.060497283935547,21.19055938720703,,,,
20180219,,20.506912231445312,20.522077560424805,,,20.977842330932617,20.674657821655273,19.620803833007812
20180220,,,,,,,,
20180221,,19.692331314086914,,,,,,
20180222,,,,,,,,
20180225,,,,,,,,
20180226,,,,,21.674354553222656,20.955263137817383,20.156654357910156,19.497055053710938
20180227,,,,,,,20.985105514526367,20.57599639892578
20180228,20.172103881835938,20.420753479003906,20.779935836791992,21.03837013244629,21.15336799621582,,,
20180301,19.84048843383789,19.905664443969727,20.17637062072754,20.75261878967285,,20.88450050354004,19.176326751708984,
20180302,20.523603439331055,20.611234664916992,21.033096313476562,21.045780181884766,20.865129470825195,20.445302963256836,19.190454483032227,
20180303,,21.050251007080078,,20.177804946899414,,20.278270721435547,19.946504592895508,19.590503692626953
20180304,,,,,21.825363159179688,21.05088996887207,20.32737159729004,19.684885025024414
20180305,20.14638900756836,,,,,,,
20180306,19.99526023864746,20.33420753479004,20.388620376586914,,,20.256546020507812,18.75878143310547,
