region,lag_days,n_events,mean_chl_anomaly,p_value,significant,corr_with_magnitude,corr_p_value
Ceduna,0,17,0.38369033686002757,0.10732915054658239,False,0.5122549019607844,0.03552652411689097
Ceduna,1,17,0.41981603162211867,0.09747103027305284,False,0.5416666666666667,0.02471480173457982
Ceduna,2,17,0.4408929916782206,0.08366061925196615,False,0.48774509803921573,0.04702109699673036
Ceduna,3,17,0.4065021448359102,0.09978170168164512,False,0.35294117647058826,0.16465797331641727
Ceduna,4,17,0.37959825396955177,0.17271277462187526,False,0.27941176470588236,0.2774303257912213
Ceduna,5,16,0.3718667164001436,0.20142965821302708,False,0.4794117647058824,0.06023930250431595
Ceduna,6,17,0.23761528373515908,0.29873116209823797,False,0.38970588235294124,0.12203439858782986
Ceduna,7,17,0.10391745289333727,0.43414481566457797,False,0.3995098039215687,0.11211790882594826
Ceduna,8,17,0.08553076335320284,0.5229787893868549,False,0.34803921568627455,0.17101314886910304
Ceduna,9,17,0.08032593646136317,0.5352749870327713,False,0.4436274509803922,0.07446849073261608
Ceduna,10,17,0.10977646550711465,0.467831089107661,False,0.4264705882352942,0.08780457420797669
Ceduna,11,17,0.10679643326321567,0.4164210551056803,False,0.4558823529411765,0.06589472039088747
Ceduna,12,17,0.08322508518143193,0.5325350911703494,False,0.3186274509803922,0.2125915923704279
Ceduna,13,17,0.10393124976370181,0.4859654713614374,False,0.12500000000000003,0.6326406085600336
Ceduna,14,17,0.11589904470311825,0.4361334711571323,False,0.058823529411764705,0.8225588681711514
Ceduna,15,17,0.11251126594778871,0.4377161386152544,False,0.14950980392156862,0.5668307307163287
Ceduna,16,17,0.11489884242081508,0.40935108100890627,False,0.18627450980392157,0.4740951399440866
Ceduna,17,17,0.08854123743183138,0.407206780524378,False,0.37009803921568635,0.1436754727309515
Ceduna,18,17,0.0926808746860308,0.35961939806810395,False,0.45098039215686275,0.06923198585336185
Ceduna,19,17,0.11184962406462311,0.27270712568012234,False,0.502450980392157,0.03983296762323776
Ceduna,20,17,0.09618695341572374,0.3454234907372189,False,0.6544117647058824,0.004367978540420787
Ceduna,21,17,0.0955734645452152,0.3096394596678584,False,0.6691176470588236,0.0033098132428843437
Ceduna,22,17,0.13387768600000388,0.15762527428528436,False,0.4460784313725491,0.07269184178908122
Ceduna,23,17,0.12577300883140885,0.13061477833368593,False,0.3872549019607844,0.12460639350840542
Ceduna,24,17,0.11519145317354791,0.17808993696867217,False,0.13725490196078433,0.5993690521648235
Ceduna,25,17,0.09420283133117092,0.27510424425676977,False,0.13480392156862747,0.6059663630124608
Ceduna,26,17,0.09052545685394138,0.33063028612487066,False,0.012254901960784315,0.9627675753886973
Ceduna,27,17,0.12525795901856837,0.23878499896192343,False,0.10539215686274511,0.6872658389566565
Ceduna,28,17,0.10147398680198089,0.32894543799082243,False,0.08088235294117649,0.7576329086921563
Ceduna,29,17,0.07149907956186796,0.49158032914048644,False,0.15686274509803924,0.5476805847029371
Ceduna,30,17,0.07799342695404501,0.48823677166486956,False,0.14215686274509806,0.586262862651232
Ceduna,31,17,0.07200829922652044,0.5297492352295409,False,0.12009803921568628,0.6461426985863066
Ceduna,32,16,0.08596918670394059,0.44446410029874106,False,0.1411764705882353,0.6020026838819791
Ceduna,33,16,0.09474215198729544,0.4196042369618478,False,0.34411764705882353,0.19185563142554293
Ceduna,34,16,0.07824522273814571,0.41475832231970955,False,0.30882352941176466,0.24449869579851796
Ceduna,35,16,0.05775554295008381,0.5317623350222753,False,0.19999999999999998,0.45768790507519985
Ceduna,36,16,0.0824735939824244,0.3993539752395323,False,0.09999999999999999,0.7125163701282782
Ceduna,37,16,0.10092442441243854,0.3353288396330504,False,0.14705882352941177,0.5867933937012053
Ceduna,38,16,0.10921918092118132,0.3160382976189148,False,0.1411764705882353,0.6020026838819791
Ceduna,39,16,0.1298197002571431,0.21683389370881911,False,0.18235294117647058,0.49907485724580003
Ceduna,40,16,0.10322519836149047,0.3456579727957668,False,-0.01764705882352941,0.9482801500547112
Ceduna,41,16,0.12339207311382606,0.2975942373611784,False,-0.05294117647058824,0.8456104411493658
Ceduna,42,16,0.18070509988326758,0.15204231554337921,False,-0.06764705882352941,0.8034203137966691
Ceduna,43,16,0.19248004583863632,0.1540358196558217,False,0.01764705882352941,0.9482801500547112
Ceduna,44,16,0.17103714682161805,0.18551789673129493,False,0.10882352941176471,0.688288293957414
Ceduna,45,16,0.2030289591312231,0.12162341714677212,False,0.0588235294117647,0.8286807500332258
Ceduna,46,16,0.20403150841371998,0.1225068765428884,False,-0.02647058823529412,0.9224805705017287
Ceduna,47,16,0.30637984156298137,0.18172446603086817,False,-0.07647058823529412,0.7783409809607029
Ceduna,48,16,0.30094260573830633,0.22120715868705268,False,-0.049999999999999996,0.8540995521297436
Ceduna,49,16,0.26078953940332644,0.28784343066003093,False,-0.09411764705882353,0.7288144270239805
Ceduna,50,16,0.2532987632234359,0.28554026242282843,False,-0.12058823529411765,0.6564245147485952
Ceduna,51,16,0.27053625229302614,0.32819341573343863,False,-0.22058823529411767,0.4116664304979635
Ceduna,52,16,0.2579683851805471,0.3483449693924934,False,0.0029411764705882353,0.9913748045563624
Ceduna,53,16,0.22036975533479736,0.33841401321945497,False,-0.07058823529411765,0.795039302337628
Ceduna,54,16,0.13456548283852282,0.27629648215068964,False,0.02058823529411765,0.9396737397890448
Ceduna,55,16,0.1477752243368221,0.2451666034870615,False,0.01764705882352941,0.9482801500547112
Ceduna,56,16,0.1400194947297374,0.2759495196341856,False,0.09705882352941177,0.7206513082372035
Ceduna,57,16,0.14439743391371201,0.3433864136158944,False,0.12058823529411765,0.6564245147485952
Ceduna,58,16,0.16852841738700156,0.20819051808697153,False,0.03823529411764706,0.8881976539853073
Ceduna,59,16,0.178887675290129,0.19554134771233225,False,0.10588235294117648,0.6963341050381157
Ceduna,60,16,0.18018418041368328,0.23842334186998285,False,-0.02941176470588235,0.9138955872505001
Ceduna,61,16,0.1911193219190907,0.2184621224938469,False,0.0411764705882353,0.8796536149318311
Ceduna,62,16,0.17899551302238945,0.2478621924230321,False,-0.07647058823529412,0.7783409809607029
Ceduna,63,16,0.17702203998785646,0.23488729531487662,False,-0.07941176470588236,0.770025319039825
Ceduna,64,16,0.14814432056709412,0.22343060865358763,False,-0.11470588235294117,0.672291046599723
Ceduna,65,16,0.10161841899777452,0.3870568364557323,False,-0.14411764705882352,0.5943782881736932
Ceduna,66,16,0.12604942014662637,0.2726786975624053,False,-0.2411764705882353,0.36820660804263405
Ceduna,67,16,0.1443430843607833,0.20831510069735792,False,-0.21176470588235297,0.431083247239221
Ceduna,68,16,0.15150915622223343,0.14291822902080945,False,0.0411764705882353,0.8796536149318311
Ceduna,69,16,0.1840799043842015,0.09788094089751334,False,0.09411764705882353,0.7288144270239805
Ceduna,70,16,0.1828784853663473,0.061536509048422124,False,0.10588235294117648,0.6963341050381157
Ceduna,71,16,0.17336626128692714,0.06936058809026645,False,0.15882352941176472,0.5568612810855389
Ceduna,72,16,0.14621380960480088,0.11445792422967191,False,0.10588235294117648,0.6963341050381157
Ceduna,73,16,0.13290706550081569,0.16104667375982423,False,-0.023529411764705882,0.931073583667659
Ceduna,74,16,0.163207743751506,0.12996077861315383,False,-0.0058823529411764705,0.9827505044191351
Ceduna,75,16,0.13676564249742246,0.20734661649360053,False,-0.29411764705882354,0.268846554622893
Ceduna,76,16,0.14360231204801016,0.1916444572045971,False,-0.31176470588235294,0.23980004767411284
Ceduna,77,16,0.16230945031469066,0.1605330335751493,False,-0.3,0.25893645256249886
Ceduna,78,16,0.19578841356560586,0.09253380207449875,False,-0.34411764705882353,0.19185563142554293
Ceduna,79,15,0.176310963853011,0.14512417961251545,False,-0.36785714285714277,0.17734214689349137
Ceduna,80,16,0.13304373956329762,0.2551000056681852,False,-0.2647058823529412,0.3218043958686153
Ceduna,81,16,0.10070855338569909,0.30162728901177266,False,-0.29705882352941176,0.2638630146135225
Ceduna,82,16,0.09596461296480682,0.3133200055870978,False,-0.3411764705882353,0.1959326248678891
Ceduna,83,16,0.054366043837563625,0.548562518187933,False,-0.31176470588235294,0.23980004767411284
Ceduna,84,16,0.057203588073718406,0.5404434984089068,False,-0.32647058823529407,0.2171594905792295
Ceduna,85,16,0.0845052730358605,0.37706009097748006,False,-0.1764705882352941,0.5132505967364668
Ceduna,86,16,0.1040427647353638,0.31012866286142493,False,-0.16764705882352943,0.5348568245819433
Ceduna,87,16,0.11598694516079766,0.24213022529776737,False,-0.19117647058823528,0.47816401281702825
Ceduna,88,16,0.1202081301138692,0.23844905174255673,False,-0.16176470588235295,0.5494831434036929
