date,Ceduna-Port Lincoln,Spencer Gulf N,Spencer Gulf S,SVG - NW,SVG - NE,SVG - SW,SVG - SE,Victor Harbor,Victor Harbour-Mt Gambier,Mt Gambier-Port Fairy
20120102,,,,,,,,,,
20120103,0.17560766637325287,,0.29146772623062134,,,0.42398107051849365,0.30812883377075195,0.3124676048755646,0.12025171518325806,
20120104,0.33204713463783264,1.6137092113494873,0.41837841272354126,1.5210665464401245,2.054216146469116,0.44615089893341064,0.479284405708313,0.28029870986938477,0.20316259562969208,0.14455349743366241
20120105,0.30719009041786194,1.6734927892684937,0.37784525752067566,2.3214147090911865,2.8629140853881836,0.5528176426887512,0.45337310433387756,,0.1894923597574234,0.12816782295703888
20120106,0.5786648392677307,1.1837027072906494,0.34965598583221436,,,0.22874663770198822,0.4851459264755249,,,0.18875962495803833
20120107,,,,,,,,,,
20120108,0.11908725649118423,,,,,,,,,
20120109,,,,,,,,,0.06327870488166809,
20120110,0.24913181364536285,,0.4537961184978485,,,,,,0.1907644122838974,0.13511034846305847
20120111,0.4329722821712494,2.329608678817749,0.46142521500587463,2.344600200653076,3.0922820568084717,0.9289174675941467,0.7457650899887085,0.42249101400375366,0.2876286506652832,0.15350699424743652
20120112,,2.4452359676361084,,2.724985361099243,3.215264320373535,0.5281647443771362,0.6014889478683472,0.6124699711799622,0.42529943585395813,0.7301916480064392
20120113,0.46959057450294495,,,,,,,,,0.38296788930892944
20120114,0.3389551043510437,1.9148417711257935,0.5306106209754944,2.4162070751190186,3.24771785736084,0.5982415080070496,0.6924591660499573,0.5624616146087646,0.37643781304359436,
20120115,0.36047011613845825,2.47836971282959,0.49935972690582275,3.239107131958008,3.7265372276306152,0.7071593999862671,0.6289780735969543,0.5110743641853333,0.37542134523391724,0.7402926683425903
20120116,0.41826996207237244,2.253537178039551,0.4445456564426422,2.771517276763916,3.085631847381592,0.6281120181083679,0.7405030131340027,0.42417681217193604,0.3403216004371643,0.8184552192687988
20120117,,,0.13386721909046173,,,,,,,
20120118,,,,,,,,,,0.3833441734313965
20120119,0.3849324882030487,1.6779379844665527,0.4741286039352417,2.681960105895996,,1.004963755607605,,0.36311134696006775,0.12763947248458862,
20120120,0.2830802798271179,0.7779310941696167,0.4647534191608429,1.4295110702514648,1.751587986946106,0.5507696270942688,0.5738159418106079,0.4035043716430664,0.6045235991477966,0.2695748507976532
20120121,0.3112950026988983,1.3808698654174805,0.44325587153434753,2.3828179836273193,2.6461539268493652,0.6671661138534546,0.6045647263526917,0.4470135569572449,0.5809372663497925,0.20116110146045685
20120122,0.7383853197097778,1.7912484407424927,0.5368214845657349,2.223451852798462,3.1346511840820312,0.6807603240013123,0.6450409889221191,0.43316128849983215,0.36317530274391174,0.49546992778778076
20120123,0.13340020179748535,1.4634697437286377,0.3267250955104828,,,,0.5234241485595703,0.36932554841041565,0.4370534420013428,0.420544296503067
20120124,0.4568023979663849,1.7577548027038574,0.3780822157859802,1.8627327680587769,,0.6165930032730103,0.32317662239074707,0.5971212983131409,,0.5724856853485107
20120125,0.4945811927318573,1.5521652698516846,0.3753913342952728,2.1270689964294434,3.0974793434143066,0.42062893509864807,0.5455416440963745,0.2949673533439636,0.5390697121620178,0.21074336767196655
20120126,0.37919703125953674,2.32639217376709,0.49959418177604675,2.641124725341797,3.159407138824463,0.7305760383605957,0.5940399169921875,0.42657172679901123,0.7916775345802307,0.8295831680297852
20120127,0.5827577710151672,1.6844675540924072,0.5206247568130493,2.6156435012817383,3.1891679763793945,0.7557253837585449,0.6811981797218323,0.468109130859375,0.4307229518890381,0.5051541328430176
20120128,,1.664883017539978,0.4703693389892578,2.5536718368530273,,0.713110089302063,0.4182945787906647,0.3863598108291626,0.36635565757751465,0.4705335795879364
20120129,0.2407740205526352,1.6720999479293823,0.3328479528427124,1.989820957183838,,0.8639965057373047,,,,0.4218027591705322
20120130,0.17255327105522156,1.120818018913269,0.3509995937347412,,,,,,,
20120131,0.46332210302352905,2.3410749435424805,0.45009610056877136,2.7933435440063477,3.067993402481079,,0.8103058338165283,0.5472705364227295,0.7905337810516357,0.18880441784858704
20120201,0.4008300304412842,1.606689214706421,0.4296032786369324,,,0.4862819015979767,,0.47276571393013,0.599269449710846,0.5175546407699585
20120202,,2.0580248832702637,0.5304849743843079,2.8389012813568115,3.648226737976074,0.7214648723602295,0.6688838601112366,0.5550042390823364,0.7526427507400513,0.39218732714653015
20120203,,,,,,,,,,
20120204,,,0.4018237888813019,,,,,,,0.1976441890001297
20120205,0.3801640272140503,,,,,,,0.49119338393211365,0.5112859606742859,0.097458116710186
20120206,0.3545379340648651,1.9221657514572144,0.4473768174648285,,,0.5218992233276367,,0.45361143350601196,0.4364982843399048,0.3071414828300476
20120207,0.48083987832069397,2.2134413719177246,0.46563073992729187,,2.0189435482025146,,,0.3915957510471344,0.5029603838920593,0.2299576997756958
20120208,0.1475372612476349,,,,,,,0.5956154465675354,0.39978158473968506,0.3085630238056183
20120209,0.279664009809494,,,,,,,0.33907732367515564,0.1341334730386734,1.6808236837387085
20120210,0.37923845648765564,,0.27211445569992065,,,,,0.4859061539173126,0.3702181279659271,0.19568443298339844
20120211,,,,,,,,,,
20120212,0.39245542883872986,2.3006935119628906,0.4936833381652832,2.6944069862365723,3.097810983657837,0.7568911910057068,0.7551524639129639,0.48552897572517395,0.37337252497673035,0.45097029209136963
20120213,,2.7680270671844482,0.6169536113739014,2.892261266708374,3.436112642288208,0.8320708274841309,0.7063085436820984,0.5272490978240967,0.31032902002334595,0.2878016233444214
20120214,,,,,,,,,,
20120215,0.1674366593360901,,0.2139323502779007,,,,,0.29898732900619507,0.1903267204761505,0.8682852387428284
20120216,0.30713462829589844,4.452815532684326,0.4190414547920227,10.019092559814453,,1.0473437309265137,,,0.35529300570487976,0.5046088695526123
20120217,0.36903706192970276,2.634819269180298,0.49480515718460083,2.3907580375671387,2.4683728218078613,0.6687709093093872,0.7434776425361633,0.37373995780944824,0.48967552185058594,0.39959120750427246
20120218,,,,,,,,,,
20120219,,,,,,,,,0.5289813280105591,0.4715355336666107
20120220,0.4076293706893921,2.6238741874694824,0.45472508668899536,2.1035797595977783,3.4274816513061523,0.6222782731056213,0.7730122804641724,0.40318581461906433,0.47783133387565613,0.15223954617977142
20120221,0.341081827878952,0.6796168088912964,0.46011847257614136,,,0.5290605425834656,,0.34651389718055725,0.4760410189628601,0.20671889185905457
20120222,0.42581239342689514,2.276658296585083,0.4973633885383606,2.2899131774902344,3.2310128211975098,0.6681016087532043,0.614303469657898,0.4716484546661377,0.2820264995098114,0.42487603425979614
20120223,0.5135324597358704,2.2833945751190186,0.5612988471984863,2.6167349815368652,4.149486541748047,0.7074124813079834,0.7398645281791687,0.4650236666202545,0.3694254159927368,0.3572169840335846
